일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균가격(원)
2020-06-18,17.5,22.4,2.366666667,4.8,140.0,16.0,77.4,979.7,65188.21617846188
2020-06-19,16.5,28.2,1.683333333,2.5,140.0,15.8,73.8,982.5,57528.35037230556
2020-06-22,16.0,32.7,6.35,3.1,340.0,17.3,68.9,984.6,61746.04762181661
2020-06-23,17.6,32.0,9.025,3.2,320.0,17.0,65.8,985.4,66829.72654154431
2020-06-24,18.1,23.5,11.7,2.7,320.0,17.0,81.1,982.4,57890.06232127844
2020-06-25,18.1,22.2,1.5,2.5,290.0,19.6,95.4,978.7,42659.12086154102
2020-06-26,18.9,26.2,0.75,6.9,320.0,17.6,79.5,981.9,57572.75902248127
2020-06-27,18.7,27.3,0.0,4.6,160.0,18.3,78.5,981.3,54000.0
2020-06-29,16.7,25.1,43.1,3.4,110.0,18.4,86.0,979.9,62709.42257366666
2020-06-30,17.8,23.1,50.0,4.2,290.0,18.3,89.5,968.2,76145.92586679054
2020-07-01,15.3,21.8,4.5,6.0,320.0,15.6,82.8,980.4,71132.13884220355
2020-07-02,13.5,27.9,2.25,3.3,140.0,15.8,73.4,987.5,70756.59588780638
2020-07-03,16.3,23.4,0.0,2.6,290.0,16.2,81.3,987.8,56886.53128478711
2020-07-04,16.3,26.4,1.0,2.7,160.0,16.8,78.9,983.2,44057.20338983051
2020-07-06,16.5,28.0,2.2,3.0,180.0,18.9,82.4,977.9,75324.77244871607
2020-07-07,20.4,27.7,6.125,5.9,320.0,19.3,78.0,979.7,79221.75447668522
2020-07-08,18.7,30.0,10.05,4.3,160.0,18.7,74.0,980.8,60292.06609172042
2020-07-09,19.3,30.4,13.975,4.6,160.0,19.0,72.1,981.5,51308.32709146298
2020-07-10,20.6,28.5,17.9,3.2,290.0,20.9,86.6,978.5,69642.64882376912
2020-07-13,16.4,19.0,92.9,2.4,290.0,17.1,97.4,981.2,44895.10256099813
2020-07-14,17.1,21.9,1.2,2.1,140.0,17.5,91.8,979.3,62560.36052154498
2020-07-15,17.0,23.2,3.8,1.7,180.0,17.3,89.9,982.0,68646.0205122465
2020-07-16,17.7,28.0,2.9,2.9,160.0,18.5,82.5,983.2,68627.4362051187
2020-07-17,17.8,29.0,2.0,2.8,160.0,18.5,82.9,985.2,52593.01234861259
2020-07-18,16.3,27.1,1.1,2.7,320.0,17.8,81.6,986.1,43332.02247493723
2020-07-20,21.9,29.0,17.0,7.0,320.0,21.3,83.8,982.5,47399.81783437003
2020-07-21,20.5,29.9,24.65,7.9,320.0,20.1,76.1,987.6,40819.77394373569
2020-07-22,20.8,23.0,32.3,1.9,320.0,21.2,96.5,986.7,50897.849215038
2020-07-23,18.0,21.1,91.9,3.8,140.0,19.4,98.1,984.7,41610.32701348091
2020-07-24,17.8,22.4,37.9,3.6,320.0,19.3,98.4,975.4,46317.56106919542
2020-07-25,19.1,25.1,3.3,3.6,320.0,20.2,92.5,979.0,45971.5751924436
2020-07-27,20.2,24.9,2.3,2.8,160.0,20.8,93.4,985.6,42476.38243165365
2020-07-28,20.0,23.4,12.0,2.1,290.0,20.9,96.9,987.6,44364.07381401829
